timestamp,iso,argt.baseApr,argt.incentiveApr,argt.incentiveDaysLeft,argt.fxVolatility30d,argt.usdPrice,argt.usdReturnObservation,argt.tvlUsd,argt.tvlUsdBasis,argt.totalAssets,argt.idleAssets,argt.idleLiquidityUsd,argt.availableLiquidityUsd,brat.baseApr,brat.incentiveApr,brat.incentiveDaysLeft,brat.fxVolatility30d,brat.usdPrice,brat.usdReturnObservation,brat.tvlUsd,brat.tvlUsdBasis,brat.totalAssets,brat.idleAssets,brat.idleLiquidityUsd,brat.availableLiquidityUsd,curve.argtUsdt0Price,curve.bratUsdt0Price,curve.argtBratPrice
1787601600000,2026-08-24T20:00:00.000Z,0.00006420273893856533,0.16993541398060888,34.041666666666664,0.013522618812516428,0.0006688963210702341,0,4802420.816904705,SOURCE_USD,7615611058.683403,7611709370.720234,5091444.395130591,,0.019154498843629745,0.095,,0.02223321130632333,0.19331516170813276,0.004001623847358138,37147.9463813321,SOURCE_USD,190976.26176625863,162236.38965116395,31362.753900358395,,,,
1787605200000,2026-08-24T21:00:00.000Z,0.00006418411839341193,0.16993541398060888,34,0.013522618812516428,0.0006688963210702341,0,4802420.816904705,SOURCE_USD,7615611114.4826355,7611709370.720234,5091444.395130591,,0.019166015735390184,0.095,,0.02223321130632333,0.19331516170813276,0.004001623847358138,37147.9463813321,SOURCE_USD,190976.67960347762,162236.38965116395,31362.753900358395,,,,
1787608800000,2026-08-24T22:00:00.000Z,0.00006416550173854986,0.16993541398060888,33.958333333333336,0.013522618812516428,0.0006688963210702341,0,4802420.816904705,SOURCE_USD,7615611170.265685,7611709370.720234,5091444.395130591,,0.019177540462056334,0.095,,0.02223321130632333,0.19331516170813276,0.004001623847358138,37147.9463813321,SOURCE_USD,190977.09769286122,162236.38965116395,31362.753900358395,,,,
1787612400000,2026-08-24T23:00:00.000Z,0.00006414689480915927,0.16993541398060888,33.916666666666664,0.013522618812516428,0.0006688963210702341,0,4802420.816904705,SOURCE_USD,7615611226.032558,7611709370.720234,5091444.395130591,,0.019189073045025026,0.095,,0.02223321130632333,0.19331516170813276,0.004001623847358138,37147.9463813321,SOURCE_USD,190977.51603458243,162236.38965116395,31362.753900358395,,,,
1787616000000,2026-08-25T00:00:00.000Z,0.0000641282937152687,0.16993587017256534,33.875,0.014155537205862788,0.000664451827242525,-0.006644518272425182,4802420.817535307,SOURCE_USD,7615611281.783259,7611709370.720234,5057614.199814109,,0.019200612186907107,0.095,,0.022064809020520642,0.1941785277384027,0.004466106137983372,37077.5993530861,SOURCE_USD,190977.9346287858,162236.38965116395,31502.823288056847,,,,
1787619600000,2026-08-25T01:00:00.000Z,0.00006410969845665642,0.16993587017256534,33.833333333333336,0.014276186469723147,0.000664451827242525,-0.006644518272425182,4802420.817535307,SOURCE_USD,7615611337.517796,7611709370.720234,5057614.199814109,,0.01921215886220305,0.095,,0.022316454692247786,0.1941785277384027,0.004466106137983372,37077.5993530861,SOURCE_USD,190978.35347563736,162236.38965116395,31502.823288056847,,,,
1787623200000,2026-08-25T02:00:00.000Z,0.00006409111097830887,0.16993587017256534,33.791666666666664,0.014276186469723147,0.000664451827242525,-0.006644518272425182,4802420.817535307,SOURCE_USD,7615611393.236175,7611709370.720234,5057614.199814109,,0.019223711756017784,0.095,,0.022316454692247786,0.1941785277384027,0.004466106137983372,37077.5993530861,SOURCE_USD,190978.77257527417,162236.38965116395,31502.823288056847,,,,
1787626800000,2026-08-25T03:00:00.000Z,0.00006407252933546236,0.16993587017256534,33.75,0.014276186469723147,0.000664451827242525,-0.006644518272425182,4802420.817535307,SOURCE_USD,7615611448.9384,7611709370.720234,5057614.199814109,,0.019235273846316472,0.095,,0.022316454692247786,0.1941785277384027,0.004466106137983372,37077.5993530861,SOURCE_USD,190979.19192789853,162236.38965116395,31502.823288056847,,,,
1787630400000,2026-08-25T04:00:00.000Z,0.00006405395741808957,0.16993587017256534,33.708333333333336,0.014276186469723147,0.000664451827242525,-0.006644518272425182,4802420.817535307,SOURCE_USD,7615611504.624477,7611709370.720234,5057614.199814109,,0.01924684182252006,0.095,,0.022316454692247786,0.1941785277384027,0.004466106137983372,37077.5993530861,SOURCE_USD,190979.61153364033,162236.38965116395,31502.823288056847,,,,
1787634000000,2026-08-25T05:00:00.000Z,0.00006403538939101041,0.16993587017256534,33.666666666666664,0.014276186469723147,0.000664451827242525,-0.006644518272425182,4802420.817535307,SOURCE_USD,7615611560.2944145,7611709370.720234,5057614.199814109,,0.019258416664964466,0.095,,0.022316454692247786,0.1941785277384027,0.004466106137983372,37077.5993530861,SOURCE_USD,190980.03139265103,162236.38965116395,31502.823288056847,,,,
1787637600000,2026-08-25T06:00:00.000Z,0.0000640168271992113,0.16993587017256534,33.625,0.014276186469723147,0.000664451827242525,-0.006644518272425182,4802420.817535307,SOURCE_USD,7615611615.948216,7611709370.720234,5057614.199814109,,0.019270000075621782,0.095,,0.022316454692247786,0.1941785277384027,0.004466106137983372,37077.5993530861,SOURCE_USD,190980.45150511898,162236.38965116395,31502.823288056847,,,,
1787641200000,2026-08-25T07:00:00.000Z,0.00006399827667809548,0.16993587017256534,33.583333333333336,0.014276186469723147,0.000664451827242525,-0.006644518272425182,4802420.817535307,SOURCE_USD,7615611671.58589,7611709370.720234,5057614.199814109,,0.019281589339117427,0.095,,0.022316454692247786,0.1941785277384027,0.004466106137983372,37077.5993530861,SOURCE_USD,190980.8718711735,162236.38965116395,31502.823288056847,,,,
1787644800000,2026-08-25T08:00:00.000Z,0.00006397973004727428,0.16993587017256534,33.541666666666664,0.014276186469723147,0.000664451827242525,-0.006644518272425182,4802420.817535307,SOURCE_USD,7615611727.207439,7611709370.720234,5057614.199814109,,0.019293186497817416,0.095,,0.022316454692247786,0.1941785277384027,0.004466106137983372,37077.5993530861,SOURCE_USD,190981.2924909884,162236.38965116395,31502.823288056847,,,,
1787648400000,2026-08-25T09:00:00.000Z,0.00006396119119672061,0.16993587017256534,33.5,0.014276186469723147,0.000664451827242525,-0.006644518272425182,4802420.817535307,SOURCE_USD,7615611782.812873,7611709370.720234,5057614.199814109,,0.01930479052081314,0.095,,0.022316454692247786,0.1941785277384027,0.004466106137983372,37077.5993530861,SOURCE_USD,190981.71336471505,162236.38965116395,31502.823288056847,,,,
1787652000000,2026-08-25T10:00:00.000Z,0.00006394265818167057,0.16993587017256534,33.458333333333336,0.014276186469723147,0.000664451827242525,-0.006644518272425182,4802420.817535307,SOURCE_USD,7615611838.402194,7611709370.720234,5057614.199814109,,0.01931640176016993,0.095,,0.022316454692247786,0.1941785277384027,0.004466106137983372,37077.5993530861,SOURCE_USD,190982.13449251233,162236.38965116395,31502.823288056847,,,,
1787655600000,2026-08-25T11:00:00.000Z,0.00006439648947426415,0.16993587017256534,33.416666666666664,0.014276186469723147,0.000664451827242525,-0.006644518272425182,4802420.817535307,SOURCE_USD,7615611894.386062,7611772632.528681,5057656.234238327,,0.019328020558226914,0.095,,0.022316454692247786,0.1941785277384027,0.004466106137983372,37077.5993530861,SOURCE_USD,190982.55587454676,162236.38965116395,31502.823288056847,,,,
1787659200000,2026-08-25T12:00:00.000Z,0.00006467935720336824,0.16993587017256534,33.375,0.014276186469723147,0.000664451827242525,-0.006644518272425182,4802420.817535307,SOURCE_USD,7615611950.615842,7611772632.528681,5057656.234238327,,0.019339647284555304,0.095,,0.022316454692247786,0.1941785277384027,0.004466106137983372,37077.5993530861,SOURCE_USD,190982.97751099282,162236.38965116395,31502.823288056847,,,,
1787662800000,2026-08-25T13:00:00.000Z,0.00006466615768193255,0.16993587017256534,33.333333333333336,0.014276186469723147,0.000664451827242525,-0.006644518272425182,4802420.817535307,SOURCE_USD,7615612006.8341465,7611772632.528681,5057656.234238327,,0.019351279457193633,0.095,,0.022316454692247786,0.1941785277384027,0.004466106137983372,37077.5993530861,SOURCE_USD,190983.3994019711,162236.38965116395,31502.823288056847,,,,
1787666400000,2026-08-25T14:00:00.000Z,0.00006465295816054468,0.16993587017256534,33.291666666666664,0.014276186469723147,0.000664451827242525,-0.006644518272425182,4802420.817535307,SOURCE_USD,7615612063.04098,7611772632.528681,5057656.234238327,,0.01936291991016867,0.095,,0.022316454692247786,0.1941785277384027,0.004466106137983372,37077.5993530861,SOURCE_USD,190983.82154766365,162236.38965116395,31502.823288056847,,,,
1787670000000,2026-08-25T15:00:00.000Z,0.00006463976641936676,0.16993587017256534,33.25,0.014276186469723147,0.000664451827242525,-0.006644518272425182,4802420.817535307,SOURCE_USD,7615612119.236343,7611772632.528681,5057656.234238327,,0.019374567579504176,0.095,,0.022316454692247786,0.1941785277384027,0.004466106137983372,37077.5993530861,SOURCE_USD,190984.24394822953,162236.38965116395,31502.823288056847,,,,
1787673600000,2026-08-25T16:00:00.000Z,0.00006462657662344397,0.16993587017256534,33.208333333333336,0.014276186469723147,0.000664451827242525,-0.006644518272425182,4802420.817535307,SOURCE_USD,7615612175.42024,7611772632.528681,5057656.234238327,,0.019386222109245614,0.095,,0.022316454692247786,0.1941785277384027,0.004466106137983372,37077.5993530861,SOURCE_USD,190984.66660382,162236.38965116395,31502.823288056847,,,,
